transation_id,account_id,recipient_id,amount,type,time_start,location,processed_at
31,8153,5942,3310.65,depósito,01:40:28,Mariashire,01:41:00
32,1642,7890,4205.33,depósito,20:41:35,Morrisonland,20:42:00
33,1558,5794,4929.92,depósito,17:51:17,North Jason,17:52:03
34,1199,3690,82.47,retirada,23:44:57,Wilsonview,23:45:42
35,8790,2200,945.44,pagamento,09:54:15,Reyesside,09:54:59
36,2897,4474,2646.88,retirada,12:04:51,Leslieview,12:05:10
37,4158,8457,3500.36,pagamento,11:50:48,Port Davidside,11:51:19
38,6052,1069,3527.0,pagamento,16:33:21,Port Dwaynefurt,16:33:35
39,2583,8858,875.6,depósito,14:24:03,Yolandamouth,14:24:33
40,4112,8364,3862.25,pagamento,14:15:37,East Laura,14:16:17
41,5705,7937,1699.42,retirada,16:46:30,Lake Christopherhaven,16:46:44
42,7603,7845,3687.48,pagamento,14:53:39,Lake Jessicaton,14:53:54
43,7719,1268,4992.88,pagamento,18:46:26,Campbellhaven,18:46:33
44,2959,7222,1072.51,depósito,09:12:43,Christopherbury,09:13:41
45,8740,6830,3497.09,pagamento,11:32:54,North Antonio,11:33:45
46,7981,2467,2514.38,transferência,01:33:36,Stacyshire,01:33:43
47,4316,3565,1130.69,depósito,05:29:03,New Timothyport,05:29:37
48,9752,5675,1924.47,pagamento,13:35:25,Gloverfort,13:35:40
49,8445,8199,320.89,pagamento,03:58:00,North Williamport,03:58:40
50,1081,5074,1754.73,depósito,04:11:09,East Alanview,04:11:22
51,508,6431,1664.7,retirada,11:21:08,Lake Christopher,11:21:40
52,5557,8499,1103.91,depósito,19:31:48,Jameschester,19:32:17
53,9167,9983,358.46,retirada,17:56:26,North Sandra,17:56:57
54,4958,5980,1089.64,pagamento,05:16:10,Coreymouth,05:16:46
55,1675,4851,3528.28,depósito,13:54:10,Jonathanland,13:55:09
56,9361,2754,2405.93,retirada,14:35:08,New Kaitlin,14:35:25
57,959,9873,3193.24,depósito,10:28:03,Lake Amanda,10:28:53
58,3848,6541,3870.69,pagamento,02:22:33,East Leroy,02:23:13
59,1501,5355,4107.65,transferência,10:11:27,Tylerfurt,10:12:02
60,2169,4959,925.22,pagamento,14:39:27,New Larry,14:39:45
61,9107,9613,1763.53,pagamento,21:37:02,Williamville,21:37:29
62,4673,2036,853.54,transferência,07:02:44,West Lori,07:02:53
63,9967,5290,2386.64,transferência,09:47:44,North Debraborough,09:48:09
64,2171,6439,3680.79,depósito,17:49:56,South Williammouth,17:50:45
65,3726,7691,3573.12,retirada,10:55:48,Port Karenfurt,10:55:53
66,3359,3580,506.92,retirada,12:56:04,Jenniferfurt,12:57:02
67,4836,9110,2268.22,depósito,20:36:52,Lauraton,20:37:40
68,8906,9880,738.25,retirada,01:02:11,Sharonland,01:02:40
69,6676,9417,783.65,pagamento,00:18:14,Mendezland,00:18:30
70,6493,9030,974.01,pagamento,21:15:04,Port Kelly,21:16:03
71,3472,3527,2305.77,retirada,08:30:36,Susanbury,08:31:00
72,1364,3283,1291.23,pagamento,13:37:33,Bakerview,13:37:46
73,5222,6676,1773.29,transferência,06:42:59,Justinville,06:43:44
74,1031,9907,595.71,transferência,05:40:53,Kristineberg,05:41:10
75,6547,7175,958.78,depósito,22:54:47,Jamesside,22:55:07
76,5797,4003,673.19,depósito,15:50:33,West Toddton,15:50:47
77,5177,1325,4479.21,depósito,15:40:09,Martinezshire,15:40:31
78,7733,1697,1086.44,transferência,00:37:18,Jeanfort,00:37:31
79,8187,2677,1497.72,retirada,04:03:24,Hayesfurt,04:04:21
80,3476,8100,3899.26,depósito,08:50:50,West David,08:51:44
81,3485,4701,2229.9,depósito,20:05:14,Lake Tara,20:06:12
82,9291,9055,2803.64,pagamento,10:34:48,Port Jesusport,10:35:39
83,5919,4701,1088.78,depósito,22:05:40,Kimberlyport,22:05:51
84,8006,8339,3499.09,retirada,03:25:45,Lake Kathrynfurt,03:26:43
85,5602,6764,695.94,transferência,12:45:56,Meltonside,12:46:35
86,787,9311,1154.09,retirada,15:31:05,Port Brianhaven,15:31:11
87,9715,4388,2294.43,retirada,04:19:29,Lisaside,04:20:09
88,9058,8374,927.81,retirada,06:12:07,Lake Stephaniebury,06:12:54
89,653,1846,3772.15,retirada,17:31:45,South Margaretville,17:32:04
90,3159,1034,3492.82,retirada,09:49:00,Nathanielview,09:49:19
91,7049,7178,4404.97,depósito,13:03:35,Port Angel,13:04:18
92,3150,6381,1532.96,pagamento,01:17:13,Jessicatown,01:17:59
93,4813,4460,3569.39,transferência,13:29:30,Coreymouth,13:30:26
94,8851,3371,1225.81,retirada,09:03:55,West Christina,09:04:18
95,5440,1442,3768.72,retirada,18:15:40,Martinezhaven,18:16:36
96,7848,6230,3135.86,depósito,17:09:45,Dawnfort,17:10:16
97,5502,5658,3562.16,retirada,09:41:04,South Mariaville,09:41:09
98,2358,2661,1517.62,retirada,20:13:08,Harpermouth,20:13:42
99,7959,2330,768.22,retirada,06:22:26,Danaport,06:23:16
100,3761,8084,1464.75,pagamento,16:36:48,South Mario,16:37:23
101,4010,4347,366.08,retirada,18:50:46,Johnberg,18:51:39
102,4454,8399,420.65,depósito,04:22:05,Port Kimberlyville,04:22:22
103,1126,4766,3278.71,transferência,02:28:35,Isaiahfurt,02:29:17
104,111,7145,4738.96,depósito,05:01:31,Jamieport,05:02:07
105,8401,7471,2754.01,pagamento,18:36:04,Baileymouth,18:37:04
106,6022,9347,407.28,depósito,00:56:48,West Steveshire,00:57:48
107,1992,1217,1596.6,depósito,07:46:57,East Jared,07:47:29
108,1126,8418,3279.43,pagamento,02:32:56,Douglasville,02:33:46
109,8393,3654,2601.15,transferência,20:11:09,Martinezside,20:11:45
110,841,8672,1974.86,transferência,21:03:00,North Lisaside,21:03:29
111,6231,5242,4179.46,depósito,09:35:50,Jeffreyland,09:36:32
112,1543,4863,491.28,transferência,02:56:29,East Michaelton,02:56:39
113,6955,4429,827.71,pagamento,21:09:29,South Karenburgh,21:10:05
114,5357,5351,2679.22,transferência,07:37:37,Mitchellfurt,07:38:03
115,7908,7294,3578.45,transferência,04:58:20,Mcculloughhaven,04:58:41
116,5614,3558,2073.28,depósito,03:24:52,Beckerville,03:25:27
117,1045,4813,2857.17,pagamento,09:44:29,East Carolynmouth,09:45:17
118,5392,5658,748.45,depósito,06:02:49,Port Kenneth,06:02:59
119,6203,1788,3083.64,depósito,11:01:09,Rivasside,11:01:50
120,9301,2567,2480.14,depósito,14:22:30,East Karenbury,14:22:58
121,5169,4883,2331.02,transferência,09:34:06,Bobstad,09:34:24
122,7546,5533,1637.01,depósito,00:46:58,North Hayley,00:47:35
123,8055,4112,4043.88,pagamento,12:11:02,East Kendra,12:11:36
124,139,6038,4745.29,depósito,17:09:43,East Sarah,17:10:23
125,254,8871,100.84,retirada,20:09:07,Butlerstad,20:10:06
126,425,4617,3924.14,depósito,00:53:37,Rebeccaborough,00:54:17
127,7419,2381,3948.71,depósito,03:08:28,New Glennberg,03:08:51
128,5581,2255,667.31,pagamento,15:20:06,Ryanton,15:20:51
129,398,1619,3923.05,transferência,06:51:24,North Michaelborough,06:51:32
130,425,9864,4155.17,transferência,23:56:41,West Michelle,23:56:59
131,3518,6367,4915.48,retirada,20:07:07,Christopherfort,20:07:37
132,6488,1428,460.6,depósito,03:01:07,New April,03:01:32
133,2606,4168,2022.44,pagamento,14:22:55,Daviesport,14:23:36
134,3317,1075,3165.48,transferência,22:18:22,Johnstonburgh,22:19:17
135,1481,9193,841.5,depósito,08:22:30,Lake Alison,08:22:59
136,3655,6438,145.36,retirada,04:25:47,New Heatherhaven,04:26:09
137,2792,6934,2439.14,retirada,08:23:43,East Mariaport,08:24:27
138,8885,6346,494.89,retirada,02:24:27,New Rachelville,02:24:32
139,1019,5083,200.2,retirada,14:49:32,South Christine,14:49:45
140,3719,1666,4457.09,transferência,03:54:38,Collinsberg,03:55:16
141,8841,2165,214.56,pagamento,13:26:31,Port Thomasmouth,13:26:53
142,7859,2153,76.38,retirada,17:29:53,Nicholasfort,17:30:16
143,4141,5527,2485.01,pagamento,23:59:13,Port Christina,23:59:51
144,6492,8322,4563.5,depósito,00:38:09,Moranmouth,00:39:03
145,132,3371,3752.93,transferência,20:40:34,Jessicahaven,20:41:26
146,8300,2738,4667.91,transferência,08:46:13,North Nataliemouth,08:46:30
147,9826,2700,4817.23,pagamento,06:45:58,New Cherylton,06:46:56
148,1996,5281,3396.08,retirada,19:29:51,East Shelly,19:30:51
149,6613,5978,546.77,pagamento,13:17:13,Lake Zacharytown,13:17:52
150,1407,1158,3362.39,pagamento,04:30:24,Willisfurt,04:31:15
151,7785,6407,2348.87,retirada,08:25:57,New Frank,08:26:19
152,5031,9704,342.52,retirada,05:17:21,West Gavin,05:17:27
153,5226,1234,803.13,transferência,15:07:54,Perezside,15:08:44
154,8308,3769,2861.66,transferência,16:39:26,Davismouth,16:40:00
155,9232,4101,2525.95,depósito,23:05:58,Heidishire,23:06:41
156,3285,7215,2722.88,depósito,11:23:10,Hallton,11:23:22
157,9623,5080,139.73,transferência,19:10:19,Diazton,19:11:09
158,1079,2543,1776.84,depósito,07:43:46,New Courtney,07:44:27
159,2559,2704,1738.99,retirada,20:38:38,New Jessicafurt,20:38:45
160,9960,1924,3812.71,pagamento,22:13:16,New Kathrynton,22:13:53
161,6971,7597,4530.21,pagamento,13:16:05,Brianburgh,13:16:14
162,9417,2742,1853.84,transferência,07:40:02,New Brian,07:41:01
163,3563,6240,55.91,depósito,02:48:42,Perezfort,02:49:38
164,6617,3925,1656.61,retirada,16:43:35,Kathleenland,16:44:23
165,2937,2300,1567.32,depósito,07:55:19,East Carlabury,07:56:03
166,1785,2234,655.57,depósito,14:31:03,Smithland,14:31:55
167,3921,8480,3054.9,pagamento,17:39:19,Port Andrea,17:39:32
168,4618,8216,4389.36,retirada,14:21:34,South Tammyview,14:21:52
169,6224,4725,4164.75,depósito,15:01:51,Davidport,15:02:14
170,2202,3865,534.31,pagamento,07:32:08,Ramirezborough,07:32:52
171,7263,4572,4603.05,transferência,20:00:58,Leefurt,20:01:44
172,3628,3278,268.22,depósito,15:39:11,Port Erica,15:39:43
173,4533,9576,1688.54,retirada,05:38:59,North Amberborough,05:39:32
174,7962,9821,932.73,retirada,05:08:41,Danielburgh,05:09:40
175,965,7217,4171.6,depósito,19:32:02,Smithborough,19:32:45
176,8261,5746,324.19,depósito,06:06:25,Deanchester,06:06:49
177,5758,9925,2945.01,transferência,23:29:40,Perezshire,23:30:22
178,1239,9904,4788.99,transferência,17:09:05,Scottberg,17:09:44
179,6879,2028,468.2,pagamento,05:09:58,Nicholsfurt,05:10:22
180,2396,4265,1572.77,depósito,11:35:23,Lake Jacktown,11:36:12
181,6953,9972,2897.21,depósito,20:22:13,South Katherine,20:22:44
182,4404,8589,4842.89,pagamento,00:35:25,Smithport,00:36:13
183,5698,4467,46.26,transferência,06:47:31,Lake James,06:48:20
184,4282,2861,2351.36,retirada,23:57:55,Patrickside,23:58:16
185,1850,9426,677.83,retirada,17:32:29,Erichaven,17:32:53
186,8054,8728,4114.94,retirada,00:42:00,Port Brittanymouth,00:42:09
187,3133,7957,2409.19,pagamento,13:59:59,Thomastown,14:00:17
188,4011,2177,1273.45,transferência,17:05:40,Lake Donnabury,17:06:27
189,255,7256,726.68,depósito,19:31:09,West Brian,19:31:58
190,2377,2624,4461.57,depósito,12:24:39,South Rosetown,12:24:45
191,4781,1765,2327.32,depósito,07:46:08,North Donald,07:46:15
192,2052,3477,2243.26,depósito,04:13:58,Jasonhaven,04:14:33
193,916,3706,3038.67,depósito,10:10:01,Timothymouth,10:10:37
194,8384,5526,1264.55,pagamento,16:09:09,Tanyaborough,16:09:58
195,6455,2811,3691.11,transferência,15:00:37,Sarahaven,15:01:28
196,2905,8134,646.36,retirada,11:59:16,Simmonston,11:59:34
197,5890,9496,4927.79,transferência,14:36:45,Lake Amy,14:36:57
198,3330,8512,3945.87,retirada,11:50:09,North Francisco,11:50:27
199,8178,6406,4157.4,pagamento,15:50:11,Savagefort,15:50:32
200,2870,1054,947.2,transferência,07:51:05,Lake Chelseabury,07:52:03
201,1919,6905,2016.85,depósito,01:02:55,East Christopher,01:03:28
202,3153,5417,3667.15,transferência,05:20:48,Baldwinbury,05:20:53
203,3850,1186,1040.52,retirada,04:44:51,Troyview,04:45:20
204,6239,5182,1853.22,retirada,17:10:08,New Larryfort,17:10:58
205,9603,7261,2383.16,transferência,22:31:21,East Holly,22:31:56
206,8154,8581,1458.93,pagamento,14:16:23,Hammondfort,14:16:43
207,5519,5369,809.46,retirada,08:14:40,Danielmouth,08:14:48
208,820,3854,30.95,pagamento,03:07:29,Jonesview,03:07:48
209,1078,7804,4735.56,transferência,18:51:30,Mcintoshburgh,18:52:14
210,4121,9459,2059.26,transferência,23:40:09,Maryport,23:41:07
211,8749,7788,3014.3,depósito,20:07:57,Amandaberg,20:08:47
212,5659,4096,810.52,depósito,21:58:00,Huntburgh,21:58:08
213,3209,1614,102.21,transferência,17:34:55,Port Elizabethtown,17:35:54
214,545,3265,2752.1,depósito,13:03:30,New Ryan,13:03:46
215,4775,3378,2082.53,retirada,04:43:37,Leonardland,04:43:59
216,5027,2948,2975.92,retirada,23:50:18,Lake Rodney,23:51:08
217,3992,5935,4118.68,retirada,09:09:30,East Laurenhaven,09:09:52
218,1053,4935,4055.79,retirada,03:31:46,North Ambertown,03:31:57
219,2780,1731,244.3,depósito,06:44:33,Timothyport,06:44:50
220,5046,3060,720.22,transferência,16:07:55,East Valerie,16:08:45
221,4960,9815,373.82,retirada,05:16:32,Lake Lisa,05:16:57
222,7530,5497,1291.15,retirada,13:03:52,Lake Christinestad,13:04:11
223,485,1380,396.85,depósito,04:04:32,New Robertmouth,04:04:41
224,7964,5643,84.87,transferência,21:34:48,West Michelle,21:35:31
225,3146,1596,128.8,depósito,14:07:27,Nguyenbury,14:07:38
226,8747,3048,2070.64,depósito,13:03:29,Olsenland,13:04:05
227,2679,9752,4831.62,depósito,15:16:47,North Nichole,15:16:56
228,3945,3339,4028.3,retirada,00:45:21,Kennedystad,00:45:31
229,8383,1873,95.93,retirada,14:52:29,East Meganchester,14:52:51
230,4438,3938,2110.05,retirada,20:50:34,Peterside,20:50:47
231,1092,6754,1058.01,depósito,14:56:57,North Lisa,14:57:19
232,8925,9430,3034.78,depósito,04:21:57,West Heather,04:22:36
233,5562,1230,3250.51,retirada,18:49:48,Lindamouth,18:50:16
234,1892,6026,4251.44,pagamento,09:40:32,East Scottstad,09:41:07
235,6996,2987,4300.16,transferência,18:59:11,Jacksonmouth,18:59:36
236,7909,5555,3677.87,pagamento,21:00:05,Christinashire,21:00:27
237,2590,4617,2188.49,pagamento,13:53:06,East Jessica,13:53:18
238,9262,4473,3297.69,pagamento,02:58:35,Krauseborough,02:59:23
239,8811,3141,1963.88,pagamento,21:44:04,New Anthony,21:44:17
240,9220,7030,1581.38,transferência,15:04:09,Lake Andrew,15:04:37
241,6093,5783,4271.32,depósito,22:51:58,North Rickyside,22:52:39
242,2986,6487,2032.02,depósito,04:28:31,West Alexanderstad,04:29:15
243,4200,5182,2864.05,depósito,13:11:53,Port Michael,13:12:35
244,9461,4180,4393.06,retirada,19:53:21,East Robert,19:54:01
245,751,5006,95.93,retirada,22:32:49,West James,22:33:18
246,2562,4601,4742.98,pagamento,01:54:14,South Kimberly,01:55:01
247,2712,2733,4363.14,transferência,23:47:26,Josephport,23:47:57
248,4295,1188,465.09,retirada,01:09:18,North Johnbury,01:10:06
249,551,9318,306.11,depósito,11:10:21,East Christopher,11:10:39
250,5133,8418,2413.07,retirada,18:58:08,Port Larry,18:58:52
251,9154,5326,2729.67,transferência,08:53:52,East Timothy,08:54:18
252,8075,9490,1332.62,depósito,08:58:58,Sheilahaven,08:59:33
253,7147,1684,546.35,pagamento,13:52:30,West Dianeborough,13:53:18
254,4252,3250,4049.58,transferência,23:36:18,East Ashlee,23:37:14
255,7271,2170,3303.77,depósito,17:31:03,Diamondtown,17:31:57
256,6592,1558,106.43,transferência,16:06:38,East Kylefurt,16:06:43
257,3190,3227,1319.64,pagamento,08:13:08,Kristentown,08:14:01
258,3295,4890,2079.18,pagamento,21:31:44,Lake Christina,21:32:11
259,7023,9273,2823.91,pagamento,09:25:31,Garciafurt,09:25:50
260,962,9949,3822.07,transferência,18:04:20,West Heather,18:05:04
261,4823,7386,2302.7,depósito,21:38:51,South Garyborough,21:39:41
262,6427,8956,908.38,depósito,01:00:06,Douglasview,01:00:44
263,8985,2977,635.88,depósito,23:49:54,Lake Dianamouth,23:50:46
264,8292,9530,1115.77,depósito,02:56:56,North Kevinstad,02:57:22
265,7305,7227,2274.36,retirada,12:59:39,New Samuel,13:00:06
266,9596,3104,4936.05,retirada,04:43:45,Bradyside,04:44:10
267,5499,9921,799.13,depósito,15:36:48,Bryantfurt,15:37:36
268,1607,6761,2810.67,pagamento,11:35:57,Thomasmouth,11:36:56
269,8095,3883,910.38,transferência,08:46:25,New Michelleview,08:46:46
270,5777,7652,4977.51,depósito,00:53:32,New Lisa,00:54:29
271,3571,6627,2776.26,transferência,01:06:32,Troytown,01:06:43
272,5016,9453,111.08,pagamento,08:08:31,West Ryanstad,08:09:04
273,9883,3439,3067.51,transferência,10:14:32,Lauraland,10:15:32
274,2256,2117,3722.54,pagamento,10:53:01,Martinbury,10:53:48
275,7556,6626,4864.07,pagamento,15:39:23,Port Mary,15:40:15
276,184,5030,4315.96,transferência,21:41:21,Grantbury,21:41:32
277,480,4382,3986.48,retirada,08:03:43,South Amytown,08:04:22
278,6494,6957,4852.73,depósito,23:17:44,Newmanborough,23:18:10
279,3945,4132,58.63,transferência,13:24:53,Port Candace,13:25:39
280,2462,7547,4555.23,retirada,01:36:12,New Jenniferfurt,01:37:05
281,3932,2859,2306.26,transferência,08:39:12,South Leonard,08:40:12
282,4169,8302,3462.82,depósito,17:50:02,Lake Justinchester,17:50:16
283,2994,2137,386.78,transferência,21:03:57,Williambury,21:04:13
284,2581,4299,2516.31,retirada,02:22:38,East Paulburgh,02:22:56
285,9882,8851,103.2,transferência,10:00:17,Bryanside,10:00:24
286,240,6233,2174.06,depósito,06:16:13,Lake Stephenfort,06:16:42
287,7725,9695,1111.81,pagamento,22:34:58,Port Madeline,22:35:53
288,7878,9983,2901.12,pagamento,09:39:44,Kevinfurt,09:40:13
289,8743,9163,877.89,pagamento,18:44:19,New Sean,18:44:25
290,4184,4696,4336.31,retirada,16:33:15,Davidview,16:33:54
291,8607,9598,21.37,transferência,21:58:18,Gibsonfurt,21:58:44
292,5307,8894,1389.44,pagamento,05:41:21,Robertview,05:41:46
293,7835,7860,1553.41,transferência,08:20:55,Port Anthony,08:21:35
294,703,8067,4155.77,transferência,01:25:05,Stewartmouth,01:25:22
295,6363,6630,3511.41,pagamento,11:22:13,South Marc,11:22:39
296,784,8785,3747.2,pagamento,17:07:40,Ellisfurt,17:08:10
297,4711,4286,4878.95,depósito,16:50:08,Davisbury,16:51:06
298,1853,9638,3212.32,retirada,23:52:40,Kevinshire,23:53:13
299,1380,9555,1845.35,retirada,18:33:17,Scottbury,18:34:00
300,8042,5468,3909.39,pagamento,18:02:39,Jonesburgh,18:03:21
301,4811,2041,2311.02,pagamento,03:12:55,East Ryan,03:13:14
302,5948,7868,1795.46,retirada,03:36:08,Ortegachester,03:36:35
303,584,8445,1036.06,depósito,19:11:13,Port Janet,19:11:27
304,9396,2736,3897.37,pagamento,00:58:44,North Alyssastad,00:58:52
305,171,8041,891.45,pagamento,08:32:57,South Suzanne,08:33:04
306,1643,8365,1937.3,pagamento,14:30:52,Port Vickie,14:31:44
307,1525,5606,374.41,depósito,15:48:54,Cherylland,15:49:49
308,9457,1980,3036.98,retirada,19:11:38,Amandaberg,19:11:45
309,9181,6507,1522.45,pagamento,20:38:00,Lisahaven,20:38:39
310,8851,9485,3683.66,retirada,16:07:19,Lake Evanshire,16:07:50
311,7206,4220,1649.2,depósito,10:13:56,West Sabrina,10:14:55
312,5961,2181,533.35,pagamento,20:10:40,Fischermouth,20:11:35
313,4512,7636,3954.05,retirada,20:02:08,Ericatown,20:03:02
314,5681,9450,1319.03,retirada,05:15:55,Albertside,05:16:32
315,6179,9059,4789.58,transferência,00:41:47,Castroshire,00:42:29
316,6172,5527,311.7,retirada,17:18:47,Karenview,17:19:29
317,6054,2379,485.64,retirada,13:11:14,Dunnshire,13:12:02
318,3966,8158,2175.36,retirada,22:29:34,West Andrewview,22:30:30
319,9483,4902,3693.19,retirada,04:09:20,Brittanyview,04:10:12
320,5214,7200,4746.65,pagamento,15:03:26,East Lisa,15:04:01
321,710,1383,4646.11,pagamento,15:06:15,Aaronmouth,15:06:45
322,429,4122,4858.47,depósito,15:24:27,Lake Amyview,15:25:27
323,8445,2504,1592.01,pagamento,18:43:39,New Christina,18:44:19
324,5557,8188,3348.41,pagamento,13:18:18,New Jenniferfurt,13:18:25
325,3250,7794,2638.59,retirada,01:02:00,Jenniferside,01:02:42
326,3423,5589,4960.05,retirada,10:56:59,Chenborough,10:57:07
327,5110,4849,3251.62,retirada,19:08:09,North Bradleytown,19:08:22
328,3821,9503,1424.42,pagamento,03:04:06,Joshuamouth,03:04:52
329,345,7987,1007.65,depósito,23:24:19,Branchshire,23:24:48
330,8669,4126,1503.34,depósito,21:09:14,Kevinport,21:10:05
331,3756,2191,1068.67,pagamento,13:14:37,Lake Nicholas,13:15:29
332,8668,1292,4837.33,depósito,21:01:50,Port Jonathan,21:02:13
333,5171,7065,2009.08,pagamento,01:07:15,Reidfurt,01:07:26
334,5459,5596,1873.84,retirada,02:37:58,East Elijahport,02:38:48
335,2743,9160,2091.41,transferência,19:51:58,Hernandezmouth,19:52:37
336,6047,1941,3859.92,pagamento,09:02:21,Brownstad,09:03:12
337,1393,2432,366.49,depósito,11:48:23,Lake Dorothyburgh,11:48:45
338,4573,9301,755.45,transferência,20:42:39,Dillonside,20:42:55
339,4144,6896,2523.97,pagamento,02:03:06,Robinsonmouth,02:04:04
340,1506,6941,109.76,retirada,09:08:13,East Sarahshire,09:09:10
341,6338,2459,3022.2,depósito,19:54:55,Matthewchester,19:55:09
342,410,3475,3866.08,depósito,12:01:41,Lindseyburgh,12:01:50
343,8316,6944,869.69,depósito,10:39:26,Owenton,10:40:12
344,9605,3032,2682.37,transferência,12:24:17,Port Elizabethland,12:24:31
345,8103,1548,4474.31,retirada,20:07:41,Pennymouth,20:08:17
346,797,1911,3065.56,pagamento,13:47:58,New Caitlinville,13:48:15
347,1975,6407,2904.89,pagamento,10:12:48,East Heatherside,10:13:31
348,2973,5613,2301.32,depósito,03:40:22,East Emily,03:40:54
349,3200,6727,4372.28,retirada,09:56:31,East Miguel,09:57:09
350,7530,2922,4970.13,pagamento,15:35:26,Fischerbury,15:35:38
351,4087,6881,264.97,transferência,18:58:06,Stevensborough,18:58:54
352,1988,4031,346.98,transferência,16:35:17,New Nathaniel,16:35:45
353,6359,3614,2789.23,transferência,15:17:52,North Brianfurt,15:18:16
354,8173,9378,328.62,transferência,20:33:40,South Brittanyview,20:33:48
355,7489,2707,2038.99,depósito,16:31:05,Port Kyle,16:31:11
356,3377,8657,312.4,retirada,12:01:22,Lake Robertside,12:01:50
357,8704,4622,2034.1,pagamento,16:27:07,Andrewsborough,16:28:06
358,7302,6813,847.62,retirada,19:01:19,New Jessica,19:02:08
359,4710,7167,3421.42,depósito,00:05:49,Garyborough,00:06:07
360,3523,7341,2052.72,transferência,09:08:06,South Tylerside,09:08:48
361,4370,4186,3074.23,transferência,05:57:42,Aprilfurt,05:57:48
362,7244,6114,465.44,transferência,05:14:09,Port Jason,05:14:35
363,9142,7088,3363.35,transferência,22:42:59,Richardsonstad,22:43:58
364,1203,9778,1582.42,pagamento,14:30:22,Hillmouth,14:30:43
365,4972,3107,4619.02,depósito,13:40:21,Simpsonmouth,13:41:01
366,6414,8719,1870.55,retirada,04:02:02,Lake Jimmy,04:02:11
367,9693,7987,822.7,retirada,06:49:22,North Elizabeth,06:50:06
368,5756,6809,3588.41,transferência,01:41:26,North Davidfurt,01:42:21
369,966,8538,488.1,transferência,01:18:54,South Amanda,01:19:20
370,9627,2477,2649.44,depósito,20:56:53,Lake Donaldmouth,20:57:06
371,1862,2160,84.57,transferência,05:08:51,Lake Jessicafurt,05:09:13
372,8743,1407,2295.01,retirada,08:29:53,South Matthewport,08:30:44
373,6802,2631,4565.19,retirada,01:27:35,South Russell,01:27:40
374,6593,3787,3856.67,transferência,04:11:16,Taylorview,04:11:38
375,4052,8106,3494.58,pagamento,07:11:49,Espinozaview,07:12:02
376,7338,3505,2125.56,retirada,21:23:21,South Janice,21:23:57
377,9415,2172,3904.97,depósito,10:41:32,Dorseychester,10:42:27
378,4622,5481,4020.56,pagamento,16:06:09,New Robert,16:06:56
379,9595,5757,2460.72,transferência,20:56:28,Lake Marc,20:57:03
380,6314,4675,343.62,pagamento,01:29:55,Lewisstad,01:30:21
381,8065,8322,4729.56,transferência,15:58:44,South Jakeberg,15:59:44
382,8035,7693,1680.93,pagamento,23:08:20,East Samantha,23:08:42
383,8172,5090,4822.99,transferência,13:39:25,Valenciaville,13:39:49
384,9635,5486,47.79,transferência,02:18:43,New Rachelton,02:19:03
385,4879,1446,2669.02,retirada,04:06:58,New Anthonystad,04:07:48
386,1377,6600,2054.41,retirada,21:08:19,South Dwaynechester,21:08:32
387,2095,3604,1606.89,pagamento,15:14:42,Chrisville,15:14:47
